JoiningYear,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,Irrelevant_Predictor1,Irrelevant_Predictor2,Irrelevant_Predictor3
2016,3,28,Female,No,2,0.19434903310404827,3.5055536513589054,a2
2018,3,40,Male,Yes,4,0.365975442365983,0.8853740746151956,a2
2013,2,38,Female,No,1,0.9257822147585056,1.8175437984265241,a1
2013,3,39,Male,No,5,0.8054640078772324,3.358316460805794,a2
2013,3,27,Female,Yes,5,0.6848369658868173,3.2601812841087154,a1
2014,3,28,Female,No,1,0.3651661954320419,2.405825901002529,a1
2017,3,26,Female,No,4,0.22037732617396943,2.7178434526408157,a1
2016,3,40,Male,No,1,0.8318813281127221,3.0530794086670814,a2
2014,3,32,Male,No,2,0.8314186637376583,2.1344919346726146,a2
2012,2,25,Male,No,3,0.30643331507607174,4.001424149595918,a2
2015,3,34,Male,No,5,0.014193680765758554,2.570568017264211,a1
2015,2,32,Female,No,3,0.5962511563936863,2.288103883125334,a1
2014,3,28,Female,No,2,0.5133644500140482,0.9040506349144123,a1
2014,3,28,Male,No,4,0.9055743297940102,4.0299601968940655,a2
2017,3,41,Male,No,5,0.7256862188225952,0.7033467582045083,a1
2017,2,39,Female,No,3,0.7692603400488021,0.7989012507878462,a2
2012,3,28,Male,No,2,0.10863694462753426,2.0120430025772484,a2
2013,1,36,Female,No,3,0.18373889958499334,3.8257845950730065,a1
2016,3,27,Female,No,5,0.20094798006514814,2.8789270932978765,a2
2017,3,28,Male,No,1,0.893144516735905,3.3483482641319187,a2
2015,2,27,Female,Yes,5,0.38564012149187854,0.43730416712908227,a2
2013,3,26,Male,No,4,0.20083296407922824,0.5898223097853905,a2
2015,3,28,Male,No,0,0.6956150388372214,2.4867898578471683,a2
2013,3,30,Female,No,2,0.11770155961789042,3.074296473920355,a1
2017,3,38,Male,No,3,0.6535089636584056,0.2508915678631912,a1
2013,3,30,Female,No,1,0.6075872044012595,1.028158515445114,a2
2015,3,38,Female,No,2,0.517317385234446,3.874175560536739,a1
2013,2,26,Male,No,4,0.8701762515055675,0.16144653878304605,a2
2017,3,36,Male,No,5,0.7508556702465315,2.6226732870122733,a2
2012,3,28,Male,No,1,0.9900772251401209,3.688815231027424,a1
2018,3,23,Female,No,1,0.3415085358530754,2.264215056246659,a1
2017,3,26,Female,No,4,0.05750229064402956,0.2777116529554785,a2
2012,3,27,Female,No,5,0.5444500884463394,3.179893828701639,a2
2017,3,38,Male,Yes,5,0.4330874182854312,4.90210304786404,a2
2014,3,25,Male,No,3,0.9502818882516001,1.4112642299287108,a1
2017,2,33,Male,No,1,0.23880873707450045,4.786388925468758,a1
2016,3,29,Female,No,0,0.5343063183100004,3.9340962671524737,a2
2014,3,39,Male,No,5,0.562998003180842,4.181118074333579,a2
2017,2,41,Female,No,4,0.3272938272996332,2.825812141205064,a1
2012,3,35,Male,No,1,0.5917750636296991,0.4048088142361933,a2
2015,3,37,Male,No,2,0.11700405213850196,1.0700895440743325,a1
2012,1,28,Female,Yes,1,0.02469617436339888,4.877705095499828,a1
2013,3,32,Male,Yes,5,0.8831041408229388,1.6289975492614701,a1
2014,3,26,Male,No,4,0.4245879283441125,4.340377752874916,a1
2014,3,33,Male,No,5,0.28545849251843225,0.7128774713824176,a1
2015,2,29,Female,No,1,0.9681871168910828,4.5584117545526555,a1
2017,2,35,Female,No,2,0.9107915443983553,4.177274255561471,a1
2018,3,25,Male,No,3,0.3235176750594163,0.677427858124921,a2
2016,1,24,Male,No,2,0.9481120672272202,4.981235460644793,a1
2018,3,24,Male,No,2,0.0008111706750580927,3.455764852027523,a2
2012,3,40,Male,No,3,0.5305258854006791,3.098931502427849,a2
2017,2,26,Female,No,4,0.9672074748173772,4.995565513150744,a1
2015,3,27,Female,Yes,5,0.002313293118141324,3.8705254842484345,a1
2013,2,28,Male,Yes,0,0.3479941789485319,2.859299371717542,a2
